время скорость угол_траектории высота угол_тангажа угловая_скорость_тангажа
0 53 0 0.1 0.0174533 -0.1
0.01 53.005 -0.168751 0.1 0.984938 -0.000100218
0.06 53.0298 -0.952805 0.0975288 0.967349 -1.56604e-05
0.11 53.0532 -1.6044 0.0913706 0.95933 -2.6743e-05
0.16 53.0755 -2.10176 0.082241 0.946758 -3.8291e-05
0.21 53.0968 -2.43503 0.0709394 0.93023 -4.77382e-05
0.26 53.1175 -2.60415 0.0582944 0.910765 -5.46898e-05
0.31 53.1379 -2.61776 0.045117 0.889434 -5.89724e-05
0.36 53.1585 -2.49183 0.0321595 0.867296 -6.05806e-05
0.41 53.1796 -2.24801 0.0200816 0.84534 -5.96562e-05
0.46 53.2016 -1.91189 0.00942581 0.824442 -5.64611e-05
0.51 53.2247 -1.51118 0.00060079 0.805328 -5.13491e-05
0.56 53.2494 -1.07405 -0.00612556 0.788556 -4.47371e-05
0.609999 53.2758 -0.627588 -0.0106254 0.774499 -3.70791e-05
0.659999 53.304 -0.196437 -0.0129024 0.763351 -2.88422e-05
0.709999 53.3342 0.198206 -0.0130779 0.75513 -2.04859e-05
0.759999 53.3665 0.539363 -0.0113713 0.7497 -1.24438e-05
0.809999 53.4008 0.814718 -0.00807815 0.746795 -5.10733e-06
0.859999 53.4371 1.01677 -0.00354619 0.746043 1.18799e-06
0.909999 53.4753 1.14272 0.00184864 0.747003 6.17474e-06
0.96 53.5152 1.19411 0.00772522 0.749189 9.66261e-06
1.01 53.5569 1.17625 0.013718 0.752108 1.15445e-05
1.06 53.6001 1.09757 0.0194949 0.755281 1.17985e-05
1.11 53.6447 0.968827 0.0247709 0.758269 1.04865e-05
1.16 53.6906 0.802269 0.0293186 0.760693 7.74727e-06
1.21 53.7377 0.610835 0.0329738 0.762246 3.78644e-06
1.26 53.786 0.407393 0.0356375 0.762703 -1.13737e-06
1.31 53.8354 0.204067 0.0372742 0.761923 -6.72899e-06
1.36 53.8859 0.0116725 0.0379068 0.759848 -1.26746e-05
1.41 53.9376 -0.160717 0.0376092 0.756496 -1.86596e-05
1.46 53.9904 -0.306064 0.0364971 0.751955 -2.43861e-05
1.51 54.0445 -0.419521 0.0347169 0.746367 -2.95878e-05
1.56 54.1 -0.498452 0.0324353 0.739917 -3.40423e-05
1.61 54.1569 -0.542334 0.0298276 0.732817 -3.75805e-05
1.66 54.2154 -0.552559 0.0270678 0.725295 -4.00919e-05
1.71 54.2756 -0.532154 0.0243198 0.717577 -4.15267e-05
1.76 54.3377 -0.485443 0.0217292 0.709878 -4.18943e-05
1.81 54.4019 -0.41768 0.019418 0.70239 -4.12592e-05
1.86 54.4681 -0.334668 0.0174804 0.695278 -3.97339e-05
1.91 54.5366 -0.242396 0.0159811 0.688668 -3.74705e-05
1.96 54.6074 -0.146697 0.0149549 0.682651 -3.46501e-05
